video_id,title,published_at,views,likes,comments,year,league,engagement_rate,snapshot_date
P7vvhdSHX-o,Breanna Stewart Through the Years,2018-08-09 04:46:44+00:00,1036,54,6,2018,WNBA,0.0579,2026-05-26T15:33:24.987933
vCfZtVWudn0,Chelsea Gray Scores 19 PTS in Sparks Close Win Over Liberty,2018-08-09 04:46:21+00:00,551,23,0,2018,WNBA,0.0417,2026-05-26T15:33:24.987933
uK6YzLj0Y08,Alyssa Thomas Drops Season-High 22 PTS As Sun Clinch Playoffs,2018-08-09 04:45:56+00:00,483,13,0,2018,WNBA,0.0269,2026-05-26T15:33:24.987933
YTsE-D8d8Vo,Elizabeth Williams Sets Career-High 22 PTS vs. Aces,2018-08-08 07:45:34+00:00,1553,21,1,2018,WNBA,0.0142,2026-05-26T15:33:24.987933
Cv7_VrwuuCs,Kristi Toliver Notches 25 PTS vs. Mercury,2018-08-08 07:42:23+00:00,774,31,1,2018,WNBA,0.0413,2026-05-26T15:33:24.987933
ocsD2cfBBLM,"Brittney Griner, Diana Taurasi and DeWanna Bonner Combine For Historic 84 PTS",2018-08-08 07:41:45+00:00,9565,144,6,2018,WNBA,0.0157,2026-05-26T15:33:24.987933
eg7c_HWaxOI,Sue Bird Becomes All-Time Leader In Career Minutes Played,2018-08-08 07:41:08+00:00,10902,194,0,2018,WNBA,0.0178,2026-05-26T15:33:24.987933
IZ0HRLAQs18,Atlanta Dream Set New Franchise Record Blocks In A Game With 14 BLK,2018-08-08 07:40:37+00:00,870,24,1,2018,WNBA,0.0287,2026-05-26T15:33:24.987933
ZoK1mzgW8Tw,Kelsey Plum Tallies Franchise Record 13 AST,2018-08-08 07:39:59+00:00,2261,58,5,2018,WNBA,0.0279,2026-05-26T15:33:24.987933
v_btDRRuRQs,"Alex Bentley Scores 22 PTS, 8 AST Off-The-Bench vs. Aces",2018-08-08 07:39:02+00:00,1538,23,3,2018,WNBA,0.0169,2026-05-26T15:33:24.987933
pSNsYDZdvaQ,"Natasha Howard Drops 19 PTS, 8 REB vs. Fever",2018-08-08 07:38:05+00:00,340,12,2,2018,WNBA,0.0412,2026-05-26T15:33:24.987933
6vAXJElDCxY,Breanna Stewart (32 Points) Leads Storm to Win in New York,2018-08-06 18:18:26+00:00,15597,212,15,2018,WNBA,0.0146,2026-05-26T15:33:24.987933
vj7bVukzo8s,Jasmine Thomas Scores Career-High 30 Points vs. Aces,2018-08-05 21:25:36+00:00,2037,64,3,2018,WNBA,0.0329,2026-05-26T15:33:24.987933
jWFO4MfG-vc,Candice Dupree Scores 25 Points in Win Over Liberty,2018-08-04 21:38:53+00:00,1024,41,0,2018,WNBA,0.04,2026-05-26T15:33:24.987933
FQXgctbw8HM,"Sue Bird Tallies Double-Double (14 PTS, 11 AST) vs. Lynx",2018-08-04 05:10:42+00:00,14111,231,8,2018,WNBA,0.0169,2026-05-26T15:33:24.987933
8KwtB-4vV8A,"Best of Courtney Vandersloot Historic 81 PTS, 57 AST Over 5 Game Stretch",2018-08-04 05:09:46+00:00,6062,100,11,2018,WNBA,0.0183,2026-05-26T15:33:24.987933
fEYij61IS6E,"Courtney Vandersloot Drops Season-High 24 PTS, 7 AST vs. Dream",2018-08-04 05:09:01+00:00,457,16,1,2018,WNBA,0.0372,2026-05-26T15:33:24.987933
7vi53tsGjqM,Angel McCoughtry and Tiffany Hayes Combine for 40 PTS vs. Sky,2018-08-04 05:08:21+00:00,3732,55,2,2018,WNBA,0.0153,2026-05-26T15:33:24.987933
fng192iIbOw,Candace Parker&#39;s Double-Double Lifts Sparks Past Lynx,2018-08-03 06:23:03+00:00,24752,415,31,2018,WNBA,0.018,2026-05-26T15:33:24.987933
WKC1cyNPf8Y,"Liz Cambage Drops HUGE 37 PTS, 9 REB vs. Fever",2018-08-03 06:22:35+00:00,9182,104,10,2018,WNBA,0.0124,2026-05-26T15:33:24.987933
UMWVU1yVjU0,Cappie Pondexter Scores 18 PTS vs. Wings,2018-08-03 06:22:00+00:00,856,17,4,2018,WNBA,0.0245,2026-05-26T15:33:24.987933
b_DY_93l2kI,"Diana Taurasi Drops Season-High 37 PTS, 9 AST vs. Aces",2018-08-02 05:26:50+00:00,5966,134,12,2018,WNBA,0.0245,2026-05-26T15:33:24.987933
rZSr3TnzQic,Player of the Month Highlights: Tiffany Hayes!,2018-08-02 02:52:45+00:00,4412,74,3,2018,WNBA,0.0175,2026-05-26T15:33:24.987933
u7l6QG10qy0,Player of the Month Highlights: Breanna Stewart,2018-08-02 02:52:41+00:00,23642,241,21,2018,WNBA,0.0111,2026-05-26T15:33:24.987933
